,Regulating.Agency,num.completed,total,proportion.completed,D or LPA,Reg num,Agency,Agency2
1,DISTRICT 01 - KLAMATH,24,23,1.043478261,D,1,D1,D1
2,DISTRICT 02 - LASSEN,15,16,0.9375,D,2,D2,D2
3,DISTRICT 03 - MENDOCINO,16,15,1.066666667,D,3,D3,D3
4,DISTRICT 04 - SAN FRANCISCO,6,11,0.545454545,D,4,D4,D4
5,DISTRICT 05 - MONTEREY,16,20,0.8,D,5,D5,D5
6,DISTRICT 06 - SANTA BARBARA,28,32,0.875,D,6,D6,D6
7,DISTRICT 07 - HOLLYWOOD,14,20,0.7,D,7,D7,D7
8,DISTRICT 08 - SANTA ANA,7,8,0.875,D,8,D8,D8
9,DISTRICT 09 - SACRAMENTO,15,14,1.071428571,D,9,D9,D9
10,DISTRICT 10 - STOCKTON,20,20,1,D,10,D10,D10
11,DISTRICT 11 - MERCED,10,22,0.454545455,D,11,D11,D11
12,DISTRICT 12 - VISALIA,19,28,0.678571429,D,12,D12,D12
13,DISTRICT 13 - SAN BERNARDINO,21,28,0.75,D,13,D13,D13
14,DISTRICT 14 - SAN DIEGO,14,16,0.875,D,14,D14,D14
15,DISTRICT 15 - METROPOLITAN,11,14,0.785714286,D,15,D15,D15
16,DISTRICT 16 - CENTRAL,18,16,1.125,D,16,D16,D16
17,DISTRICT 17 - SANTA CLARA,20,27,0.740740741,D,17,D17,D17
18,DISTRICT 18 - SONOMA,22,24,0.916666667,D,18,D18,D18
19,DISTRICT 19 - TEHACHAPI,18,19,0.947368421,D,19,D19,D19
20,DISTRICT 20 - RIVERSIDE,17,19,0.894736842,D,20,D20,D20
21,DISTRICT 21 - VALLEY,9,11,0.818181818,D,21,D21,D21
22,DISTRICT 22 - ANGELES,6,10,0.6,D,22,D22,D22
23,DISTRICT 23 - FRESNO,13,14,0.928571429,D,23,D23,D23
24,DISTRICT 24 - TULARE,9,13,0.692307692,D,24,D24,D24
25,LPA34 - BUTTE COUNTY,1,2,0.5,LPA,34,LPA34,LPA34
26,LPA35 - CALAVERAS COUNTY,1,1,1,LPA,35,LPA35,LPA35
27,LPA39 - EL DORADO COUNTY,1,1,1,LPA,39,LPA39,LPA39
28,LPA43 - IMPERIAL COUNTY,2,3,0.666666667,LPA,43,LPA43,LPA43
29,LPA44 - INYO COUNTY,3,4,0.75,LPA,44,LPA44,LPA44
30,LPA49 - LA COUNTY,2,4,0.5,LPA,49,LPA49,LPA49
31,LPA50 - MADERA COUNTY,2,3,0.666666667,LPA,50,LPA50,LPA50
32,LPA56 - MONO COUNTY,1,2,0.5,LPA,56,LPA56,LPA56
33,LPA57 - MONTEREY COUNTY,10,16,0.625,LPA,57,LPA57,LPA57
34,LPA58 - NAPA COUNTY,2,3,0.666666667,LPA,58,LPA58,LPA58
35,LPA61 - PLACER COUNTY,2,2,1,LPA,61,LPA61,LPA61
36,LPA62 - PLUMAS COUNTY,1,1,1,LPA,62,LPA62,LPA62
37,LPA63 - RIVERSIDE COUNTY,8,6,1.333333333,LPA,63,LPA63,LPA63
38,LPA64 - SACRAMENTO COUNTY,2,1,2,LPA,64,LPA64,LPA64
39,LPA66 - SAN BERNARDINO COUNTY,2,1,2,LPA,66,LPA66,LPA66
40,LPA69 - SAN JOAQUIN COUNTY,8,6,1.333333333,LPA,69,LPA69,LPA69
41,LPA70 - SAN LUIS OBISPO COUNTY,2,4,0.5,LPA,71,LPA71,LPA71
42,LPA72 - SANTA BARBARA COUNTY,1,2,0.5,LPA,72,LPA72,LPA72
43,LPA80 - STANISLAUS COUNTY,1,1,1,LPA,80,LPA80,LPA80
44,LPA82 - TEHAMA COUNTY,3,3,1,LPA,82,LPA82,LPA82
45,LPA87 - YOLO COUNTY,1,1,1,LPA,87,LPA87,LPA87
