DOMAINVALUE,STRATO,NH_FRAME,NH_STRATA,PLANNED_UNITS,SELECTED_UNITS,SUM_OF_WGTS
1,1,81,81,29,29,81
1,2,20,20,6,6,20
1,3,69,69,27,27,69
1,4,34,34,9,9,34
1,5,22,22,6,6,22
1,6,25,25,9,9,25
1,7,26,26,9,9,26
1,8,15,15,4,4,15
1,9,7,7,3,3,7
1,10,21,21,7,7,21
2,1,12,12,7,7,12
2,2,68,68,27,27,68
2,3,13,13,4,4,13
2,4,30,30,6,6,30
3,1,120,120,47,47,120
3,2,1,1,1,1,1
3,3,31,31,16,16,31
3,4,57,57,24,24,57
3,5,16,16,7,7,16
4,1,781,781,87,87,781
4,2,27,27,3,3,27
4,3,61,61,7,7,61
4,4,211,211,28,28,211
4,5,452,452,53,53,452
4,6,64,64,8,8,64
